Temps,A,B,AB,ABA,ABAB
136.9,0.498106,0.498476,0.000979097,0.000370209,8.99694e-05
137,0.498113,0.498482,0.000975367,0.000368801,8.96264e-05
137.1,0.498121,0.498488,0.000971651,0.000367398,8.92847e-05
137.2,0.498128,0.498494,0.00096795,0.000366001,8.89443e-05
137.3,0.498135,0.498499,0.000964263,0.00036461,8.86053e-05
137.4,0.498142,0.498505,0.00096059,0.000363223,8.82676e-05
137.5,0.498149,0.498511,0.000956931,0.000361842,8.79312e-05
137.6,0.498156,0.498516,0.000953287,0.000360467,8.75961e-05
137.7,0.498163,0.498522,0.000949657,0.000359096,8.72623e-05
137.8,0.49817,0.498528,0.000946041,0.000357731,8.69298e-05
137.9,0.498177,0.498533,0.000942438,0.000356371,8.65985e-05
138,0.498184,0.498539,0.00093885,0.000355017,8.62686e-05
138.1,0.498191,0.498544,0.000935276,0.000353667,8.59399e-05
138.2,0.498197,0.49855,0.000931715,0.000352323,8.56125e-05
138.3,0.498204,0.498555,0.000928168,0.000350984,8.52864e-05
138.4,0.498211,0.498561,0.000924635,0.00034965,8.49615e-05
138.5,0.498218,0.498566,0.000921115,0.000348322,8.46379e-05
138.6,0.498225,0.498572,0.000917609,0.000346998,8.43156e-05
138.7,0.498231,0.498577,0.000914117,0.00034568,8.39945e-05
138.8,0.498238,0.498582,0.000910638,0.000344366,8.36746e-05
138.9,0.498245,0.498588,0.000907173,0.000343058,8.3356e-05
139,0.498251,0.498593,0.000903721,0.000341755,8.30386e-05
139.1,0.498258,0.498598,0.000900282,0.000340456,8.27224e-05
139.2,0.498265,0.498604,0.000896857,0.000339163,8.24075e-05
139.3,0.498271,0.498609,0.000893444,0.000337875,8.20937e-05
139.4,0.498278,0.498614,0.000890045,0.000336591,8.17812e-05
139.5,0.498284,0.498619,0.000886659,0.000335313,8.14699e-05
139.6,0.498291,0.498625,0.000883287,0.000334039,8.11598e-05
139.7,0.498297,0.49863,0.000879927,0.000332771,8.08509e-05
139.8,0.498304,0.498635,0.00087658,0.000331507,8.05432e-05
139.9,0.49831,0.49864,0.000873246,0.000330248,8.02366e-05
140,0.498316,0.498645,0.000869925,0.000328994,7.99313e-05
140.1,0.498323,0.498651,0.000866616,0.000327745,7.96271e-05
140.2,0.498329,0.498656,0.000863321,0.000326501,7.93242e-05
140.3,0.498335,0.498661,0.000860038,0.000325261,7.90223e-05
140.4,0.498342,0.498666,0.000856768,0.000324026,7.87217e-05
140.5,0.498348,0.498671,0.00085351,0.000322796,7.84222e-05
140.6,0.498354,0.498676,0.000850265,0.000321571,7.81239e-05
140.7,0.49836,0.498681,0.000847033,0.00032035,7.78267e-05
