Temps,A,B,C,AB,ABA,ABAB,ABC,ABCB,CB,CBC,CBCB
14.2,0.650585,0.810437,1.55578,0.377657,0.22226,0.160382,0.0127157,0.00829274,0.0198731,0.0193103,0.00746568
14.3,0.648259,0.807436,1.55412,0.378504,0.222602,0.160559,0.0129012,0.00841489,0.0202049,0.0196524,0.00757674
14.4,0.646001,0.804481,1.55245,0.379324,0.222934,0.160726,0.013088,0.008538,0.0205402,0.0199978,0.00768873
14.5,0.643808,0.801572,1.55076,0.380116,0.223256,0.160883,0.0132763,0.00866207,0.0208789,0.0203466,0.00780167
14.6,0.641679,0.798709,1.54905,0.380881,0.223568,0.16103,0.0134659,0.0087871,0.0212211,0.0206986,0.00791554
14.7,0.639612,0.795888,1.54734,0.38162,0.223871,0.161166,0.0136569,0.00891308,0.0215668,0.0210539,0.00803036
14.8,0.637607,0.793111,1.5456,0.382334,0.224165,0.161293,0.0138492,0.00904002,0.021916,0.0214126,0.00814613
14.9,0.635661,0.790374,1.54386,0.383022,0.22445,0.16141,0.014043,0.0091679,0.0222687,0.0217745,0.00826285
15,0.633775,0.787679,1.5421,0.383684,0.224727,0.161518,0.0142381,0.00929674,0.022625,0.0221398,0.00838053
15.1,0.631945,0.785022,1.54032,0.384323,0.224995,0.161616,0.0144346,0.00942653,0.0229848,0.0225084,0.00849916
15.2,0.630173,0.782404,1.53853,0.384938,0.225255,0.161705,0.0146325,0.00955726,0.0233482,0.0228804,0.00861875
15.3,0.628455,0.779823,1.53673,0.385529,0.225507,0.161785,0.0148318,0.00968894,0.0237152,0.0232556,0.0087393
15.4,0.62679,0.777279,1.53491,0.386097,0.225752,0.161856,0.0150325,0.00982157,0.0240858,0.0236342,0.00886081
15.5,0.625179,0.77477,1.53307,0.386642,0.225989,0.161919,0.0152346,0.00995513,0.02446,0.024016,0.00898329
15.6,0.623619,0.772295,1.53123,0.387165,0.226219,0.161973,0.0154381,0.0100896,0.0248379,0.0244012,0.00910674
15.7,0.622109,0.769854,1.52936,0.387667,0.226442,0.162018,0.015643,0.0102251,0.0252194,0.0247897,0.00923115
15.8,0.620648,0.767445,1.52749,0.388147,0.226658,0.162056,0.0158493,0.0103615,0.0256046,0.0251816,0.00935653
15.9,0.619235,0.765068,1.52559,0.388606,0.226867,0.162085,0.016057,0.0104988,0.0259935,0.0255767,0.00948288
16,0.61787,0.762721,1.52369,0.389045,0.22707,0.162106,0.0162662,0.010637,0.0263861,0.0259752,0.0096102
16.1,0.61655,0.760404,1.52177,0.389464,0.227267,0.162119,0.0164768,0.0107762,0.0267823,0.026377,0.00973849
16.2,0.615274,0.758115,1.51983,0.389863,0.227457,0.162125,0.0166888,0.0109163,0.0271824,0.0267821,0.00986775
16.3,0.614043,0.755855,1.51788,0.390244,0.227642,0.162123,0.0169023,0.0110574,0.0275861,0.0271905,0.00999798
16.4,0.612854,0.753621,1.51592,0.390605,0.22782,0.162114,0.0171172,0.0111994,0.0279937,0.0276022,0.0101292
16.5,0.611707,0.751414,1.51394,0.390948,0.227994,0.162098,0.0173336,0.0113423,0.028405,0.0280173,0.0102613
16.6,0.610601,0.749232,1.51194,0.391273,0.228161,0.162074,0.0175515,0.0114861,0.0288201,0.0284356,0.0103945
16.7,0.609535,0.747075,1.50993,0.39158,0.228324,0.162044,0.0177709,0.0116309,0.029239,0.0288572,0.0105286
16.8,0.608507,0.744941,1.50791,0.39187,0.228481,0.162006,0.0179917,0.0117765,0.0296617,0.0292822,0.0106636
16.9,0.607518,0.74283,1.50587,0.392143,0.228633,0.161962,0.0182141,0.0119232,0.0300882,0.0297104,0.0107996
17,0.606566,0.740742,1.50382,0.3924,0.228781,0.161911,0.018438,0.0120707,0.0305185,0.0301419,0.0109366
17.1,0.605649,0.738675,1.50175,0.39264,0.228923,0.161854,0.0186633,0.0122191,0.0309527,0.0305767,0.0110746
17.2,0.604768,0.736629,1.49967,0.392864,0.229062,0.161791,0.0188903,0.0123685,0.0313908,0.0310147,0.0112134
17.3,0.603922,0.734603,1.49757,0.393073,0.229195,0.161721,0.0191187,0.0125187,0.0318327,0.0314561,0.0113533
17.4,0.603109,0.732597,1.49546,0.393267,0.229325,0.161645,0.0193488,0.0126699,0.0322785,0.0319007,0.0114941
